plant_code,plant_name,state,nameplate_mw,distance_km,nearest_plant,capacity_w,transport_mode,freight_cost_per_w,total_freight_cost,co2_emissions_tons,carbon_cost,distance_bin
62755,Prospero Solar,TX,300.0,1081.9,Louisiana,300000000.0,Rail,0.0043276,1298280.0,7140.54,606945.9,1000-1500km
62799,Winona Solar,MN,1.0,732.0,Ohio,1000000.0,Rail,0.002928,2928.0,16.104,1368.84,500-1000km
62800,Wabasha Solar,MN,1.0,750.5,Ohio,1000000.0,Rail,0.003002,3002.0,16.511,1403.435,500-1000km
62812,Milford Solar 1,UT,99.0,2162.3,Louisiana,99000000.0,Rail,0.008649200000000001,856270.8,4709.4894,400306.59900000005,2000-3000km
62893,Prairie Wolf Solar LLC,IL,200.0,429.8,Ohio,200000000.0,Truck,0.0034384,687680.0,5845.280000000001,496848.80000000005,0-500km
62899,East Line Solar,AZ,100.0,1900.4,Louisiana,100000000.0,Rail,0.0076016,760160.0,4180.88,355374.8,1500-2000km
62980,Turquoise Liberty Solar,NV,10.0,2734.9,Louisiana,10000000.0,Rail,0.0109396,109396.0,601.678,51142.63,2000-3000km
62996,ESA Four Oaks 2 NC LLC,NC,2.0,813.0,Ohio,2000000.0,Rail,0.0032519999999999997,6503.999999999999,35.772,3040.62,500-1000km
65042,Grove,FL,74.5,1003.9,Alabama,74500000.0,Rail,0.004015599999999999,299162.19999999995,1645.3921,139858.3285,1000-1500km
63027,Mars Solar,TX,10.0,741.9,Louisiana,10000000.0,Rail,0.0029676,29676.0,163.218,13873.529999999999,500-1000km
63061,Clover Creek Solar Community Solar,UT,80.0,2128.9,Louisiana,80000000.0,Rail,0.0085156,681248.0,3746.8639999999996,318483.43999999994,2000-3000km
63076,Gutenberg Solar,NC,79.9,767.9,Ohio,79900000.0,Rail,0.0030716,245420.84,1349.8146199999999,114734.24269999999,500-1000km
63083,Caden Energix Pamplin LLC,VA,15.7,626.0,Ohio,15700000.0,Rail,0.0025039999999999997,39312.799999999996,216.22039999999996,18378.733999999997,500-1000km
63084,Caden Energix Hickory LLC,VA,20.0,838.9,Ohio,20000000.0,Rail,0.0033556,67112.0,369.116,31374.86,500-1000km
63084,Caden Energix Hickory LLC,VA,12.0,838.9,Ohio,12000000.0,Rail,0.0033556,40267.2,221.46959999999996,18824.915999999997,500-1000km
63087,Caden Energix Rives Road LLC,VA,19.7,723.2,Ohio,19700000.0,Rail,0.0028928,56988.16,313.43488,26641.9648,500-1000km
63128,Iris Solar LLC,LA,50.0,179.0,Louisiana,50000000.0,Truck,0.001432,71600.0,608.6,51731.0,0-500km
63187,"FL Solar 4, LLC",FL,42.0,564.5,Alabama,42000000.0,Rail,0.002258,94836.0,521.598,44335.829999999994,500-1000km
63271,Huntley,SC,75.0,629.2,Ohio,75000000.0,Rail,0.0025168,188760.0,1038.1799999999998,88245.29999999999,500-1000km
63273,Wagyu,TX,120.0,381.5,Louisiana,120000000.0,Truck,0.003052,366240.0,3113.0400000000004,264608.4,0-500km
63300,Athos Solar Project,CA,250.0,2259.3,Louisiana,250000000.0,Rail,0.0090372,2259300.0,12426.15,1056222.75,2000-3000km
63304,"Allium Community Solar Garden, LLC",MN,1.0,990.8,Ohio,1000000.0,Rail,0.0039632,3963.2000000000003,21.7976,1852.7959999999998,500-1000km
63305,"Aster Community Solar Garden, LLC",MN,1.0,1013.3,Ohio,1000000.0,Rail,0.0040532,4053.2,22.292599999999997,1894.8709999999996,1000-1500km
63307,"Westport Community Solar, LLC",MN,1.0,986.6,Ohio,1000000.0,Rail,0.0039464,3946.4,21.705199999999998,1844.9419999999998,500-1000km
63308,"Marigold Community Solar Garden, LLC",MN,1.0,864.5,Ohio,1000000.0,Rail,0.0034579999999999997,3457.9999999999995,19.019,1616.6149999999998,500-1000km
63309,"Honeysuckle Solar, LLC",MN,1.0,920.3,Ohio,1000000.0,Rail,0.0036811999999999995,3681.1999999999994,20.246599999999997,1720.9609999999998,500-1000km
63311,"Lantana Solar, LLC",MN,1.0,1011.3,Ohio,1000000.0,Rail,0.0040452,4045.2,22.248599999999996,1891.1309999999996,1000-1500km
63312,"Hyacinth Solar, LLC",MN,1.0,842.4,Ohio,1000000.0,Rail,0.0033696,3369.6,18.532799999999998,1575.2879999999998,500-1000km
