Scenario,FS_Fraction,FS_Capacity_MW,Market_Share_%,Share_Change_%
Conservative (5% non-FS),0.95,28623.405,23.001180458233154,-1.198819541766845
Moderate (3% non-FS),0.97,29226.003,23.48541583630122,-0.7145841636987775
Best estimate (1% non-FS),0.99,29828.601000000002,23.96965121436929,-0.23034878563071004
Base case (0% non-FS),1.0,30129.9,24.21176890340332,0.011768903403321929
